occurrenceID	inst	kingdom
http://id.luomus.fi/MY.12130703	Helsinki	Plantae
http://id.luomus.fi/MY.12130735	Helsinki	Plantae
http://id.luomus.fi/MY.12130783	Helsinki	Plantae
http://id.luomus.fi/MY.12130747	Helsinki	Plantae
http://id.luomus.fi/MY.12130623	Helsinki	Plantae
http://id.luomus.fi/MY.12130651	Helsinki	Plantae
http://id.luomus.fi/MY.12130619	Helsinki	Plantae
http://id.luomus.fi/MY.12130607	Helsinki	Plantae
http://id.luomus.fi/MY.12130667	Helsinki	Plantae
http://id.luomus.fi/MY.12130699	Helsinki	Plantae
http://id.luomus.fi/MY.12130687	Helsinki	Plantae
http://id.luomus.fi/MY.12130903	Helsinki	Plantae
http://id.luomus.fi/MY.12130931	Helsinki	Plantae
http://id.luomus.fi/MY.12130819	Helsinki	Plantae
http://id.luomus.fi/MY.12130807	Helsinki	Plantae
http://id.luomus.fi/MY.12130867	Helsinki	Plantae
http://id.luomus.fi/MY.12130895	Helsinki	Plantae
http://id.luomus.fi/MY.12130883	Helsinki	Plantae
http://id.luomus.fi/MY.12130827	Helsinki	Plantae
http://id.luomus.fi/MY.12130851	Helsinki	Plantae
http://id.luomus.fi/MY.5411195	Helsinki	Plantae
http://id.luomus.fi/MY.12139726	Helsinki	incertae sedis
http://id.luomus.fi/MY.12139722	Helsinki	incertae sedis
http://id.luomus.fi/MY.12139750	Helsinki	incertae sedis
http://id.luomus.fi/MY.12139734	Helsinki	incertae sedis
http://id.luomus.fi/MY.12139766	Helsinki	incertae sedis
http://id.luomus.fi/MY.12139778	Helsinki	incertae sedis
http://id.luomus.fi/MY.12139966	Helsinki	Plantae
http://id.luomus.fi/MY.12139962	Helsinki	Plantae
http://id.luomus.fi/MY.12139954	Helsinki	Plantae
http://id.luomus.fi/MY.12139946	Helsinki	Plantae
http://id.luomus.fi/MY.12140038	Helsinki	Plantae
http://id.luomus.fi/MY.12140026	Helsinki	Plantae
http://id.luomus.fi/MY.12140022	Helsinki	Plantae
http://id.luomus.fi/MY.12140014	Helsinki	Plantae
http://id.luomus.fi/MY.12140002	Helsinki	Plantae
http://id.luomus.fi/MY.12140326	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140314	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140390	Helsinki	Plantae
http://id.luomus.fi/MY.12140394	Helsinki	Plantae
http://id.luomus.fi/MY.12140350	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140382	Helsinki	Plantae
http://id.luomus.fi/MY.12140362	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140298	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140290	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140234	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140286	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140254	Helsinki	incertae sedis
http://id.luomus.fi/MY.12140422	Helsinki	Plantae
http://id.luomus.fi/MY.12140414	Helsinki	Plantae
http://id.luomus.fi/MY.12140406	Helsinki	Plantae
http://id.luomus.fi/MY.12141522	Helsinki	incertae sedis
http://id.luomus.fi/MY.12141538	Helsinki	incertae sedis
http://id.luomus.fi/MY.12141518	Helsinki	incertae sedis
http://id.luomus.fi/MY.12033052	Helsinki	Plantae
http://id.luomus.fi/MY.12033037	Helsinki	Plantae
http://id.luomus.fi/MY.12033032	Helsinki	Plantae
http://id.luomus.fi/MY.12033007	Helsinki	Plantae
http://id.luomus.fi/MY.12033092	Helsinki	Plantae
http://id.luomus.fi/MY.12033213	Helsinki	Plantae
http://id.luomus.fi/MY.12033203	Helsinki	Plantae
http://id.luomus.fi/MY.12033158	Helsinki	Plantae
http://id.luomus.fi/MY.12033148	Helsinki	Plantae
http://id.luomus.fi/MY.12033135	Helsinki	Plantae
http://id.luomus.fi/MY.12033127	Helsinki	Plantae
http://id.luomus.fi/MY.12033118	Helsinki	Plantae
http://id.luomus.fi/MY.12033336	Helsinki	Plantae
http://id.luomus.fi/MY.12033341	Helsinki	Plantae
http://id.luomus.fi/MY.12033309	Helsinki	Plantae
http://id.luomus.fi/MY.12033287	Helsinki	Plantae
http://id.luomus.fi/MY.12033291	Helsinki	Plantae
http://id.luomus.fi/MY.12033263	Helsinki	Plantae
http://id.luomus.fi/MY.12033248	Helsinki	Plantae
http://id.luomus.fi/MY.12033458	Helsinki	Plantae
http://id.luomus.fi/MY.12033451	Helsinki	Plantae
http://id.luomus.fi/MY.12033413	Helsinki	Plantae
http://id.luomus.fi/MY.12033398	Helsinki	Plantae
http://id.luomus.fi/MY.12033383	Helsinki	Plantae
http://id.luomus.fi/MY.12033362	Helsinki	Plantae
http://id.luomus.fi/MY.12033568	Helsinki	Plantae
http://id.luomus.fi/MY.12033552	Helsinki	Plantae
http://id.luomus.fi/MY.12033518	Helsinki	Plantae
http://id.luomus.fi/MY.12033523	Helsinki	Plantae
http://id.luomus.fi/MY.12033493	Helsinki	Plantae
http://id.luomus.fi/MY.12033483	Helsinki	Plantae
http://id.luomus.fi/MY.12033697	Helsinki	Plantae
http://id.luomus.fi/MY.12033685	Helsinki	Plantae
http://id.luomus.fi/MY.12033657	Helsinki	Plantae
http://id.luomus.fi/MY.12033642	Helsinki	Plantae
http://id.luomus.fi/MY.12033627	Helsinki	Plantae
http://id.luomus.fi/MY.12033588	Helsinki	Plantae
http://id.luomus.fi/MY.12033714	Helsinki	Plantae
http://id.luomus.fi/MY.12033705	Helsinki	Plantae
http://id.luomus.fi/MY.12033771	Helsinki	Plantae
http://id.luomus.fi/MY.12033763	Helsinki	Plantae
http://id.luomus.fi/MY.12033748	Helsinki	Plantae
http://id.luomus.fi/MY.12033740	Helsinki	Plantae
http://id.luomus.fi/MY.12033813	Helsinki	Plantae
http://id.luomus.fi/MY.12033830	Helsinki	Plantae
http://id.luomus.fi/MY.12033877	Helsinki	Plantae
http://id.luomus.fi/MY.12033870	Helsinki	Plantae
http://id.luomus.fi/MY.12051435	Helsinki	Plantae
http://id.luomus.fi/MY.12051416	Helsinki	Plantae
http://id.luomus.fi/MY.12051401	Helsinki	Plantae
http://id.luomus.fi/MY.12051470	Helsinki	Plantae
http://id.luomus.fi/MY.12051460	Helsinki	Plantae
